alpha_deg,P,V
371.5,5.55319e+06,0.000118343
372,5.55319e+06,0.000119714
372.5,5.55319e+06,0.000121142
373,5.55319e+06,0.000122626
373.5,5.55319e+06,0.000124167
374,5.55319e+06,0.000125764
374.5,5.55319e+06,0.000127417
375,5.55319e+06,0.000129126
375.5,5.55319e+06,0.000130891
376,5.55319e+06,0.000132711
376.5,5.55319e+06,0.000134586
377,5.55319e+06,0.000136516
377.5,5.55319e+06,0.0001385
378,5.46953e+06,0.000140539
378.5,5.37176e+06,0.000142632
379,5.27474e+06,0.000144779
379.5,5.17856e+06,0.00014698
380,5.08331e+06,0.000149233
380.5,4.98907e+06,0.00015154
381,4.89591e+06,0.000153899
381.5,4.80391e+06,0.000156311
382,4.71312e+06,0.000158775
382.5,4.6236e+06,0.00016129
383,4.53539e+06,0.000163857
383.5,4.44852e+06,0.000166475
384,4.36304e+06,0.000169144
384.5,4.27897e+06,0.000171863
385,4.19634e+06,0.000174632
385.5,4.11516e+06,0.000177451
386,4.03544e+06,0.000180319
386.5,3.9572e+06,0.000183236
387,3.88045e+06,0.000186202
387.5,3.80517e+06,0.000189216
388,3.73138e+06,0.000192277
388.5,3.65908e+06,0.000195386
389,3.58824e+06,0.000198542
389.5,3.51887e+06,0.000201745
390,3.45096e+06,0.000204994
390.5,3.38448e+06,0.000208288
391,3.31943e+06,0.000211628
391.5,3.25579e+06,0.000215013
392,3.19355e+06,0.000218442
392.5,3.13268e+06,0.000221915
393,3.07316e+06,0.000225432
393.5,3.01497e+06,0.000228991
394,2.9581e+06,0.000232594
394.5,2.90252e+06,0.000236238
395,2.8482e+06,0.000239925
395.5,2.79513e+06,0.000243653
396,2.74328e+06,0.000247421
396.5,2.69263e+06,0.00025123
397,2.64314e+06,0.000255078
397.5,2.59481e+06,0.000258966
398,2.54761e+06,0.000262893
398.5,2.5015e+06,0.000266858
399,2.45647e+06,0.000270861
399.5,2.4125e+06,0.000274901
400,2.36956e+06,0.000278978
400.5,2.32762e+06,0.000283091
401,2.28667e+06,0.00028724
401.5,2.24668e+06,0.000291425
402,2.20762e+06,0.000295644
402.5,2.16948e+06,0.000299897
403,2.13224e+06,0.000304184
403.5,2.09587e+06,0.000308504
404,2.06035e+06,0.000312856
404.5,2.02566e+06,0.000317241
405,1.99179e+06,0.000321657
405.5,1.9587e+06,0.000326104
406,1.92638e+06,0.000330582
406.5,1.89482e+06,0.000335089
407,1.86399e+06,0.000339625
407.5,1.83387e+06,0.000344191
408,1.80445e+06,0.000348784
408.5,1.7757e+06,0.000353405
409,1.74762e+06,0.000358053
409.5,1.72018e+06,0.000362727
410,1.69338e+06,0.000367427
410.5,1.66718e+06,0.000372153
411,1.64158e+06,0.000376903
411.5,1.61656e+06,0.000381678
412,1.59211e+06,0.000386475
412.5,1.56822e+06,0.000391296
413,1.54486e+06,0.00039614
413.5,1.52202e+06,0.000401005
414,1.4997e+06,0.000405891
414.5,1.47787e+06,0.000410798
415,1.45653e+06,0.000415725
415.5,1.43566e+06,0.000420671
416,1.41526e+06,0.000425637
416.5,1.3953e+06,0.00043062
417,1.37578e+06,0.000435621
417.5,1.35669e+06,0.00044064
418,1.33801e+06,0.000445675
418.5,1.31974e+06,0.000450726
419,1.30187e+06,0.000455792
419.5,1.28438e+06,0.000460873
420,1.26727e+06,0.000465968
420.5,1.25052e+06,0.000471076
421,1.23413e+06,0.000476198
421.5,1.21809e+06,0.000481332
422,1.20239e+06,0.000486478
422.5,1.18702e+06,0.000491635
423,1.17198e+06,0.000496802
423.5,1.15725e+06,0.00050198
424,1.14282e+06,0.000507167
424.5,1.1287e+06,0.000512363
425,1.11487e+06,0.000517567
425.5,1.10132e+06,0.000522779
426,1.08805e+06,0.000527999
426.5,1.07506e+06,0.000533224
427,1.06233e+06,0.000538456
427.5,1.04986e+06,0.000543693
428,1.03764e+06,0.000548935
428.5,1.02567e+06,0.000554182
429,1.01394e+06,0.000559432
429.5,1.00244e+06,0.000564685
430,991175,0.000569941
430.5,980132,0.000575199
431,969309,0.000580458
431.5,958699,0.000585719
432,948297,0.000590979
432.5,938100,0.00059624
433,928101,0.0006015
433.5,918297,0.000606759
434,908683,0.000612015
434.5,899255,0.00061727
435,890008,0.000622522
435.5,880938,0.00062777
436,872042,0.000633015
436.5,863315,0.000638255
437,854754,0.000643491
437.5,846354,0.000648721
438,838113,0.000653945
438.5,830026,0.000659162
439,822091,0.000664373
439.5,814304,0.000669576
440,806661,0.000674772
440.5,799160,0.000679959
441,791797,0.000685137
441.5,784570,0.000690306
442,777475,0.000695466
442.5,770510,0.000700614
443,763671,0.000705753
443.5,756957,0.00071088
444,750364,0.000715995
444.5,743890,0.000721099
445,737533,0.00072619
445.5,731289,0.000731268
446,725157,0.000736333
446.5,719135,0.000741384
447,713219,0.00074642
447.5,707408,0.000751443
448,701699,0.00075645
448.5,696091,0.000761441
449,690581,0.000766417
449.5,685168,0.000771377
450,679849,0.00077632
450.5,674623,0.000781247
451,669487,0.000786156
451.5,664440,0.000791047
452,659480,0.00079592
452.5,654606,0.000800775
453,649815,0.000805611
453.5,645106,0.000810428
454,640478,0.000815225
454.5,635928,0.000820003
455,631455,0.000824761
455.5,627058,0.000829498
456,622736,0.000834214
456.5,618486,0.00083891
457,614308,0.000843584
457.5,610200,0.000848236
458,606161,0.000852867
458.5,602189,0.000857475
459,598283,0.000862061
459.5,594442,0.000866624
460,590665,0.000871163
460.5,586950,0.00087568
461,583297,0.000880173
461.5,579704,0.000884642
462,576170,0.000889087
462.5,572694,0.000893508
463,569275,0.000897904
463.5,565912,0.000902276
464,562604,0.000906622
464.5,559349,0.000910944
465,556148,0.000915239
465.5,552999,0.00091951
466,549900,0.000923754
466.5,546852,0.000927972
467,543853,0.000932164
467.5,540903,0.00093633
468,538000,0.000940469
468.5,535144,0.000944582
469,532333,0.000948667
469.5,529568,0.000952725
470,526847,0.000956757
470.5,524170,0.00096076
471,521536,0.000964736
471.5,518943,0.000968685
472,516392,0.000972605
472.5,513882,0.000976498
473,511412,0.000980363
473.5,508981,0.000984199
474,506589,0.000988007
474.5,504234,0.000991786
475,501918,0.000995537
475.5,499638,0.00099926
476,497394,0.00100295
476.5,495185,0.00100662
477,493012,0.00101025
477.5,490873,0.00101386
478,488769,0.00101744
478.5,486697,0.00102099
479,484658,0.0010245
479.5,482652,0.00102799
480,480677,0.00103145
480.5,478734,0.00103488
481,476822,0.00103829
481.5,474939,0.00104166
482,473087,0.001045
482.5,471264,0.00104831
483,469470,0.00105159
483.5,467705,0.00105485
484,465968,0.00105807
484.5,464258,0.00106126
485,462575,0.00106442
485.5,460920,0.00106756
486,459291,0.00107066
486.5,457687,0.00107373
487,456110,0.00107678
487.5,454558,0.00107979
488,453030,0.00108277
488.5,451528,0.00108572
489,450049,0.00108865
489.5,448595,0.00109154
490,447163,0.0010944
490.5,445756,0.00109724
491,444370,0.00110004
491.5,443008,0.00110281
492,441668,0.00110555
492.5,440349,0.00110827
493,439053,0.00111095
493.5,437777,0.0011136
494,436523,0.00111622
494.5,435289,0.00111881
495,434076,0.00112138
495.5,432883,0.00112391
496,431711,0.00112641
496.5,430557,0.00112888
497,429424,0.00113133
497.5,428309,0.00113374
498,427213,0.00113612
498.5,426136,0.00113847
499,425078,0.0011408
499.5,424038,0.00114309
500,423015,0.00114535
500.5,422011,0.00114759
501,421024,0.00114979
501.5,420055,0.00115197
502,419102,0.00115411
502.5,418167,0.00115623
503,417248,0.00115831
503.5,416346,0.00116037
504,415461,0.0011624
504.5,414591,0.0011644
505,413738,0.00116636
505.5,412900,0.0011683
506,412078,0.00117021
506.5,411271,0.00117209
507,410480,0.00117395
507.5,409704,0.00117577
508,408943,0.00117756
508.5,408197,0.00117933
509,407465,0.00118106
509.5,406748,0.00118277
510,406045,0.00118445
510.5,405357,0.00118609
511,404682,0.00118771
511.5,404022,0.00118931
512,403375,0.00119087
512.5,402742,0.0011924
513,402123,0.00119391
513.5,401517,0.00119538
514,400924,0.00119683
514.5,400345,0.00119825
515,399779,0.00119964
515.5,399225,0.00120101
516,398685,0.00120234
516.5,398157,0.00120365
517,397642,0.00120492
517.5,397139,0.00120617
518,396649,0.0012074
518.5,396171,0.00120859
519,395706,0.00120975
519.5,395252,0.00121089
520,394811,0.001212
520.5,394382,0.00121308
521,393964,0.00121414
521.5,393559,0.00121516
522,393165,0.00121616
522.5,392782,0.00121713
523,392412,0.00121807
523.5,392053,0.00121899
524,391705,0.00121987
524.5,391369,0.00122073
525,391044,0.00122156
525.5,390730,0.00122237
526,390428,0.00122314
526.5,390136,0.00122389
527,389856,0.00122461
527.5,389587,0.00122531
528,389328,0.00122597
528.5,389081,0.00122661
529,388844,0.00122722
529.5,388619,0.00122781
530,388404,0.00122836
530.5,388199,0.00122889
531,388006,0.0012294
531.5,387823,0.00122987
532,387651,0.00123032
