# Результаты расчёта индикаторной диаграммы P–V
# Дата: Sun Nov  2 15:20:22 2025
# --------------------------------------------
# Параметры расчёта:
# Радиус кривошипа r = 0.02 м
# Диаметр цилиндра D = 0.12 м
# Степень сжатия ε = 17
# λ = 0.3
# n1 = 1.38, n2 = 1.22
# Давления: Pa=90000 Па, Pr=110000 Па
# --------------------------------------------

V[м^3];P[Па]
0.000173;1481818.318931
0.000174;1470370.485817
0.000176;1459082.572781
0.000177;1447951.359785
0.000178;1436973.711233
0.000179;1426146.573254
0.000180;1415466.971078
0.000181;1404932.006518
0.000182;1394538.855550
0.000183;1384284.765974
0.000184;1374167.055173
0.000186;1364183.107945
0.000187;1354330.374425
0.000188;1344606.368074
0.000189;1335008.663744
0.000190;1325534.895820
0.000191;1316182.756416
0.000192;1306949.993646
0.000193;1297834.409952
0.000194;1288833.860492
0.000195;1279946.251584
0.000197;1271169.539207
0.000198;1262501.727548
0.000199;1253940.867609
0.000200;1245485.055851
0.000201;1237132.432894
0.000202;1228881.182252
0.000203;1220729.529120
0.000204;1212675.739197
0.000205;1204718.117543
0.000207;1196855.007489
0.000208;1189084.789567
0.000209;1181405.880483
0.000210;1173816.732125
0.000211;1166315.830602
0.000212;1158901.695309
0.000213;1151572.878028
0.000214;1144327.962058
0.000215;1137165.561370
0.000216;1130084.319789
0.000218;1123082.910203
0.000219;1116160.033797
0.000220;1109314.419310
0.000221;1102544.822315
0.000222;1095850.024522
0.000223;1089228.833105
0.000224;1082680.080043
0.000225;1076202.621486
0.000226;1069795.337141
0.000228;1063457.129675
0.000229;1057186.924132
0.000230;1050983.667376
0.000231;1044846.327542
0.000232;1038773.893509
0.000233;1032765.374388
0.000234;1026819.799019
0.000235;1020936.215493
0.000236;1015113.690677
0.000237;1009351.309763
0.000239;1003648.175820
0.000240;998003.409368
0.000241;992416.147957
0.000242;986885.545763
0.000243;981410.773192
0.000244;975991.016496
0.000245;970625.477404
0.000246;965313.372754
0.000247;960053.934145
0.000249;954846.407593
0.000250;949690.053197
0.000251;944584.144817
0.000252;939527.969758
0.000253;934520.828462
0.000254;929562.034212
0.000255;924650.912841
0.000256;919786.802446
0.000257;914969.053121
0.000258;910197.026682
0.000260;905470.096409
0.000261;900787.646793
0.000262;896149.073289
0.000263;891553.782074
0.000264;887001.189815
0.000265;882490.723437
0.000266;878021.819907
0.000267;873593.926009
0.000268;869206.498142
0.000270;864859.002105
0.000271;860550.912907
0.000272;856281.714560
0.000273;852050.899899
0.000274;847857.970390
0.000275;843702.435952
0.000276;839583.814777
0.000277;835501.633162
0.000278;831455.425340
0.000279;827444.733313
0.000281;823469.106697
0.000282;819528.102562
0.000283;815621.285283
0.000284;811748.226390
0.000285;807908.504423
0.000286;804101.704792
0.000287;800327.419637
0.000288;796585.247697
0.000289;792874.794174
0.000291;789195.670607
0.000292;785547.494746
0.000293;781929.890432
0.000294;778342.487474
0.000295;774784.921534
0.000296;771256.834012
0.000297;767757.871937
0.000298;764287.687855
0.000299;760845.939724
0.000300;757432.290813
0.000302;754046.409594
0.000303;750687.969649
0.000304;747356.649569
0.000305;744052.132862
0.000306;740774.107859
0.000307;737522.267622
0.000308;734296.309859
0.000309;731095.936834
0.000310;727920.855284
0.000312;724770.776336
0.000313;721645.415425
0.000314;718544.492216
0.000315;715467.730528
0.000316;712414.858253
0.000317;709385.607288
0.000318;706379.713457
0.000319;703396.916445
0.000320;700436.959724
0.000321;697499.590490
0.000323;694584.559591
0.000324;691691.621465
0.000325;688820.534076
0.000326;685971.058851
0.000327;683142.960621
0.000328;680336.007556
0.000329;677549.971113
0.000330;674784.625974
0.000331;672039.749991
0.000333;669315.124132
0.000334;666610.532428
0.000335;663925.761915
0.000336;661260.602589
0.000337;658614.847352
0.000338;655988.291962
0.000339;653380.734986
0.000340;650791.977751
0.000341;648221.824298
0.000342;645670.081336
0.000344;643136.558200
0.000345;640621.066801
0.000346;638123.421589
0.000347;635643.439507
0.000348;633180.939952
0.000349;630735.744732
0.000350;628307.678029
0.000351;625896.566359
0.000352;623502.238534
0.000354;621124.525621
0.000355;618763.260913
0.000356;616418.279884
0.000357;614089.420161
0.000358;611776.521486
0.000359;609479.425681
0.000360;607197.976617
0.000361;604932.020182
0.000362;602681.404243
0.000363;600445.978624
0.000365;598225.595066
0.000366;596020.107202
0.000367;593829.370527
0.000368;591653.242366
0.000369;589491.581848
0.000370;587344.249877
0.000371;585211.109104
0.000372;583092.023900
0.000373;580986.860331
0.000375;578895.486130
0.000376;576817.770672
0.000377;574753.584948
0.000378;572702.801544
0.000379;570665.294610
0.000380;568640.939845
0.000381;566629.614464
0.000382;564631.197183
0.000383;562645.568192
0.000384;560672.609136
0.000386;558712.203088
0.000387;556764.234535
0.000388;554828.589351
0.000389;552905.154778
0.000390;550993.819408
0.000391;549094.473160
0.000392;547207.007263
0.000393;545331.314235
0.000394;543467.287865
0.000396;541614.823194
0.000397;539773.816497
0.000398;537944.165266
0.000399;536125.768190
0.000400;534318.525141
0.000401;532522.337155
0.000402;530737.106415
0.000403;528962.736234
0.000404;527199.131043
0.000405;525446.196369
0.000407;523703.838826
0.000408;521971.966093
0.000409;520250.486904
0.000410;518539.311031
0.000411;516838.349270
0.000412;515147.513425
0.000413;513466.716298
0.000414;511795.871670
0.000415;510134.894291
0.000417;508483.699865
0.000418;506842.205038
0.000419;505210.327385
0.000420;503587.985394
0.000421;501975.098458
0.000422;500371.586861
0.000423;498777.371763
0.000424;497192.375193
0.000425;495616.520035
0.000426;494049.730015
0.000428;492491.929691
0.000429;490943.044442
0.000430;489403.000457
0.000431;487871.724723
0.000432;486349.145016
0.000433;484835.189889
0.000434;483329.788664
0.000435;481832.871417
0.000436;480344.368975
0.000438;478864.212899
0.000439;477392.335480
0.000440;475928.669726
0.000441;474473.149353
0.000442;473025.708777
0.000443;471586.283106
0.000444;470154.808127
0.000445;468731.220300
0.000446;467315.456750
0.000447;465907.455257
0.000449;464507.154246
0.000450;463114.492783
0.000451;461729.410563
0.000452;460351.847904
0.000453;458981.745738
0.000454;457619.045603
0.000455;456263.689638
0.000456;454915.620571
0.000457;453574.781715
0.000459;452241.116959
0.000460;450914.570763
0.000461;449595.088147
0.000462;448282.614687
0.000463;446977.096508
0.000464;445678.480275
0.000465;444386.713189
0.000466;443101.742978
0.000467;441823.517893
0.000469;440551.986699
0.000470;439287.098670
0.000471;438028.803582
0.000472;436777.051709
0.000473;435531.793815
0.000474;434292.981147
0.000475;433060.565432
0.000476;431834.498869
0.000477;430614.734125
0.000478;429401.224327
0.000480;428193.923058
0.000481;426992.784354
0.000481;426992.784354
0.000481;110000.000000
0.000481;110000.000000
0.000028;110000.000000
0.000028;110000.000000
0.000028;90000.000000
0.000028;90000.000000
0.000481;90000.000000
