# Результаты расчета кинематики КШМ
# Дата создания: Tue Oct 21 22:38:41 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.02 м
# λ: 0.3
# Частота вращения: 4800 об/мин
# Угол развала: 0 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361

alpha[град];stroke_full[м];stroke1[м];stroke2[м];velocity_full[м/с];velocity1[м/с];velocity2[м/с];acceleration_full[м/с²];acceleration1[м/с²];acceleration2[м/с²]
142.000000;0.036897;0.035760;0.001137;4.726133;6.189304;-1.463171;-3615.258819;-3982.005454;366.746635
143.000000;0.037059;0.035973;0.001087;4.600556;6.050104;-1.449548;-3617.836568;-4035.694871;417.858303
144.000000;0.037217;0.036180;0.001036;4.474902;5.909062;-1.434159;-3619.694101;-4088.154976;468.460875
145.000000;0.037370;0.036383;0.000987;4.349196;5.766219;-1.417023;-3620.877091;-4139.369790;518.492699
146.000000;0.037519;0.036581;0.000938;4.223460;5.621620;-1.398160;-3621.430891;-4189.323712;567.892820
147.000000;0.037663;0.036773;0.000890;4.097715;5.475309;-1.377594;-3621.400473;-4238.001525;616.601052
148.000000;0.037803;0.036961;0.000842;3.971980;5.327329;-1.355349;-3620.830353;-4285.388402;664.558049
149.000000;0.037939;0.037143;0.000796;3.846274;5.177727;-1.331454;-3619.764522;-4331.469908;711.705385
150.000000;0.038071;0.037321;0.000750;3.720613;5.026548;-1.305936;-3618.246388;-4376.232006;757.985618
151.000000;0.038198;0.037492;0.000705;3.595011;4.873838;-1.278826;-3616.318700;-4419.661062;803.342362
152.000000;0.038320;0.037659;0.000661;3.469484;4.719643;-1.250159;-3614.023489;-4461.743846;847.720357
153.000000;0.038438;0.037820;0.000618;3.344041;4.564010;-1.219969;-3611.402004;-4502.467539;891.065535
154.000000;0.038552;0.037976;0.000577;3.218695;4.406987;-1.188292;-3608.494650;-4541.819738;933.325088
155.000000;0.038662;0.038126;0.000536;3.093454;4.248622;-1.155168;-3605.340927;-4579.788454;974.447527
156.000000;0.038767;0.038271;0.000496;2.968327;4.088963;-1.120636;-3601.979370;-4616.362122;1014.382752
157.000000;0.038868;0.038410;0.000458;2.843319;3.928058;-1.084739;-3598.447493;-4651.529601;1053.082108
158.000000;0.038965;0.038544;0.000421;2.718436;3.765956;-1.047520;-3594.781734;-4685.280180;1090.498446
159.000000;0.039057;0.038672;0.000385;2.593682;3.602708;-1.009025;-3591.017397;-4717.603577;1126.586180
160.000000;0.039145;0.038794;0.000351;2.469061;3.438362;-0.969301;-3587.188605;-4748.489946;1161.301341
161.000000;0.039228;0.038910;0.000318;2.344572;3.272968;-0.928396;-3583.328243;-4777.929879;1194.601636
162.000000;0.039308;0.039021;0.000286;2.220218;3.106578;-0.886359;-3579.467915;-4805.914408;1226.446493
163.000000;0.039383;0.039126;0.000256;2.095998;2.939241;-0.843243;-3575.637896;-4832.435010;1256.797114
164.000000;0.039453;0.039225;0.000228;1.971910;2.771009;-0.799099;-3571.867084;-4857.483604;1285.616521
165.000000;0.039519;0.039319;0.000201;1.847951;2.601933;-0.753982;-3568.182961;-4881.052563;1312.869602
166.000000;0.039581;0.039406;0.000176;1.724118;2.432064;-0.707946;-3564.611551;-4903.134705;1338.523154
167.000000;0.039639;0.039487;0.000152;1.600407;2.261455;-0.661048;-3561.177384;-4923.723305;1362.545921
168.000000;0.039693;0.039563;0.000130;1.476812;2.090156;-0.613344;-3557.903454;-4942.812091;1384.908637
169.000000;0.039742;0.039633;0.000109;1.353328;1.918221;-0.564893;-3554.811195;-4960.395249;1405.584054
170.000000;0.039787;0.039696;0.000090;1.229948;1.745702;-0.515754;-3551.920438;-4976.467422;1424.546984
171.000000;0.039827;0.039754;0.000073;1.106664;1.572651;-0.465987;-3549.249392;-4991.023715;1441.774323
172.000000;0.039863;0.039805;0.000058;0.983469;1.399121;-0.415651;-3546.814613;-5004.059694;1457.245081
173.000000;0.039895;0.039851;0.000045;0.860355;1.225164;-0.364810;-3544.630976;-5015.571388;1470.940411
174.000000;0.039923;0.039890;0.000033;0.737311;1.050835;-0.313523;-3542.711663;-5025.555290;1482.843627
175.000000;0.039947;0.039924;0.000023;0.614330;0.876185;-0.261855;-3541.068133;-5034.008359;1492.940227
176.000000;0.039966;0.039951;0.000015;0.491400;0.701269;-0.209868;-3539.710113;-5040.928021;1501.217908
177.000000;0.039981;0.039973;0.000008;0.368513;0.526138;-0.157625;-3538.645580;-5046.312167;1507.666587
178.000000;0.039991;0.039988;0.000004;0.245658;0.350848;-0.105190;-3537.880751;-5050.159158;1512.278406
179.000000;0.039998;0.039997;0.000001;0.122824;0.175451;-0.052627;-3537.420074;-5052.467821;1515.047747
180.000000;0.040000;0.040000;0.000000;0.000000;0.000000;-0.000000;-3537.266217;-5053.237453;1515.971236
181.000000;0.039998;0.039997;0.000001;-0.122824;-0.175451;0.052627;-3537.420074;-5052.467821;1515.047747
182.000000;0.039991;0.039988;0.000004;-0.245658;-0.350848;0.105190;-3537.880751;-5050.159158;1512.278406
183.000000;0.039981;0.039973;0.000008;-0.368513;-0.526138;0.157625;-3538.645580;-5046.312167;1507.666587
184.000000;0.039966;0.039951;0.000015;-0.491400;-0.701269;0.209868;-3539.710113;-5040.928021;1501.217908
185.000000;0.039947;0.039924;0.000023;-0.614330;-0.876185;0.261855;-3541.068133;-5034.008359;1492.940227
186.000000;0.039923;0.039890;0.000033;-0.737311;-1.050835;0.313523;-3542.711663;-5025.555290;1482.843627
187.000000;0.039895;0.039851;0.000045;-0.860355;-1.225164;0.364810;-3544.630976;-5015.571388;1470.940411
188.000000;0.039863;0.039805;0.000058;-0.983469;-1.399121;0.415651;-3546.814613;-5004.059694;1457.245081
189.000000;0.039827;0.039754;0.000073;-1.106664;-1.572651;0.465987;-3549.249392;-4991.023715;1441.774323
190.000000;0.039787;0.039696;0.000090;-1.229948;-1.745702;0.515754;-3551.920438;-4976.467422;1424.546984
191.000000;0.039742;0.039633;0.000109;-1.353328;-1.918221;0.564893;-3554.811195;-4960.395249;1405.584054
192.000000;0.039693;0.039563;0.000130;-1.476812;-2.090156;0.613344;-3557.903454;-4942.812091;1384.908637
193.000000;0.039639;0.039487;0.000152;-1.600407;-2.261455;0.661048;-3561.177384;-4923.723305;1362.545921
194.000000;0.039581;0.039406;0.000176;-1.724118;-2.432064;0.707946;-3564.611551;-4903.134705;1338.523154
195.000000;0.039519;0.039319;0.000201;-1.847951;-2.601933;0.753982;-3568.182961;-4881.052563;1312.869602
196.000000;0.039453;0.039225;0.000228;-1.971910;-2.771009;0.799099;-3571.867084;-4857.483604;1285.616521
197.000000;0.039383;0.039126;0.000256;-2.095998;-2.939241;0.843243;-3575.637896;-4832.435010;1256.797114
198.000000;0.039308;0.039021;0.000286;-2.220218;-3.106578;0.886359;-3579.467915;-4805.914408;1226.446493
199.000000;0.039228;0.038910;0.000318;-2.344572;-3.272968;0.928396;-3583.328243;-4777.929879;1194.601636
200.000000;0.039145;0.038794;0.000351;-2.469061;-3.438362;0.969301;-3587.188605;-4748.489946;1161.301341
