# Результаты расчета кинематики КШМ
# Дата создания: Tue Oct 21 22:38:43 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.02 м
# λ: 0.3
# Частота вращения: 4800 об/мин
# Угол развала: 0 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361

ГЛАВНЫЙ ЦИЛИНДР:
==================================================================================================================================
|  α [град] |   S полн [м]  |   S1 [м]   |   S2 [м]   |  V полн [м/с] |   V1 [м/с]  |   V2 [м/с]  | A полн [м/с²] |  A1 [м/с²]  |  A2 [м/с²]  |
|  103.0000 |       0.0273 |     0.0245 |     0.0028 |        9.1344 |      9.7954 |     -0.6610 |    -2499.2770 |  -1136.7311 |  -1362.5459 |
|  104.0000 |       0.0277 |     0.0248 |     0.0028 |        9.0465 |      9.7545 |     -0.7079 |    -2561.0119 |  -1222.4888 |  -1338.5232 |
|  105.0000 |       0.0280 |     0.0252 |     0.0028 |        8.9566 |      9.7105 |     -0.7540 |    -2620.7437 |  -1307.8741 |  -1312.8696 |
|  106.0000 |       0.0283 |     0.0255 |     0.0028 |        8.8646 |      9.6637 |     -0.7991 |    -2678.4775 |  -1392.8610 |  -1285.6165 |
|  107.0000 |       0.0286 |     0.0258 |     0.0027 |        8.7706 |      9.6138 |     -0.8432 |    -2734.2208 |  -1477.4236 |  -1256.7971 |
|  108.0000 |       0.0289 |     0.0262 |     0.0027 |        8.6747 |      9.5611 |     -0.8864 |    -2787.9827 |  -1561.5362 |  -1226.4465 |
|  109.0000 |       0.0292 |     0.0265 |     0.0027 |        8.5770 |      9.5054 |     -0.9284 |    -2839.7748 |  -1645.1732 |  -1194.6016 |
|  110.0000 |       0.0295 |     0.0268 |     0.0026 |        8.4775 |      9.4468 |     -0.9693 |    -2889.6103 |  -1728.3090 |  -1161.3013 |
|  111.0000 |       0.0298 |     0.0272 |     0.0026 |        8.3763 |      9.3854 |     -1.0090 |    -2937.5045 |  -1810.9183 |  -1126.5862 |
|  112.0000 |       0.0301 |     0.0275 |     0.0026 |        8.2735 |      9.3211 |     -1.0475 |    -2983.4745 |  -1892.9761 |  -1090.4984 |
|  113.0000 |       0.0304 |     0.0278 |     0.0025 |        8.1692 |      9.2539 |     -1.0847 |    -3027.5393 |  -1974.4572 |  -1053.0821 |
|  114.0000 |       0.0306 |     0.0281 |     0.0025 |        8.0633 |      9.1840 |     -1.1206 |    -3069.7196 |  -2055.3368 |  -1014.3828 |
