V,P
0.000923343,555797
0.000925187,554447
0.00092703,553102
0.000928873,551763
0.000930716,550430
0.00093256,549103
0.000934403,547782
0.000936246,546467
0.00093809,545157
0.000939933,543853
0.000941776,542555
0.000943619,541262
0.000945463,539975
0.000947306,538693
0.000949149,537417
0.000950992,536147
0.000952836,534882
0.000954679,533622
0.000956522,532368
0.000958365,531119
0.000960209,529875
0.000962052,528637
0.000963895,527404
0.000965738,526176
0.000967582,524953
0.000969425,523736
0.000971268,522524
0.000973111,521316
0.000974955,520114
0.000976798,518917
0.000978641,517725
0.000980485,516538
0.000982328,515355
0.000984171,514178
0.000986014,513006
0.000987858,511838
0.000989701,510675
0.000991544,509517
0.000993387,508364
0.000995231,507216
0.000997074,506072
0.000998917,504933
0.00100076,503799
0.0010026,502669
0.00100445,501544
0.00100629,500423
0.00100813,499307
0.00100998,498196
0.00101182,497089
0.00101366,495986
0.00101551,494888
0.00101735,493794
0.00101919,492705
0.00102104,491620
0.00102288,490539
0.00102472,489463
0.00102657,488391
0.00102841,487323
0.00103025,486260
0.0010321,485201
0.00103394,484145
0.00103578,483095
0.00103763,482048
0.00103947,481005
0.00104131,479967
0.00104316,478932
0.001045,477902
0.00104684,476875
0.00104869,475853
0.00105053,474834
0.00105237,473820
0.00105421,472809
0.00105606,471803
0.0010579,470800
0.00105974,469801
0.00106159,468806
0.00106343,467815
0.00106527,466828
0.00106712,465844
0.00106896,464864
0.0010708,463888
0.00107265,462916
0.00107449,461947
0.00107633,460982
0.00107818,460021
0.00108002,459063
0.00108186,458109
0.00108371,457159
0.00108555,456212
0.00108739,455269
0.00108924,454329
0.00109108,453393
0.00109292,452460
0.00109477,451531
0.00109661,450605
0.00109845,449683
0.0011003,448764
0.00110214,447848
0.00110398,446936
0.00110583,446028
0.00110767,445122
0.00110951,444220
0.00111136,443321
0.0011132,442426
0.00111504,441534
0.00111689,440645
0.00111873,439760
0.00112057,438877
0.00112242,437998
0.00112426,437122
0.0011261,436249
0.00112795,435380
0.00112979,434513
0.00113163,433650
0.00113348,432790
0.00113532,431933
0.00113716,431079
0.001139,430228
0.00114085,429380
0.00114269,428535
0.00114453,427693
0.00114638,426854
0.00114822,426019
0.00115006,425186
0.00115191,424356
0.00115375,423529
0.00115559,422705
0.00115744,421884
0.00115928,421065
0.00116112,420250
0.00116297,419438
0.00116481,418628
0.00116665,417821
0.0011685,417017
0.00117034,416216
0.00117218,415418
0.00117403,414622
0.00117587,413829
0.00117771,413039
0.00117956,412252
0.0011814,411467
0.00118324,410686
0.00118509,409906
0.00118693,409130
0.00118877,408356
0.00119062,407585
0.00119246,406816
0.0011943,406051
0.00119615,405287
0.00119799,404527
0.00119983,403769
0.00120168,403013
0.00120352,402260
0.00120536,401510
0.00120721,400762
0.00120905,400017
0.00121089,399274
0.00121274,398534
0.00121458,397796
0.00121642,397061
0.00121827,396328
0.00122011,395598
0.00122195,394870
0.00122379,394144
0.00122564,393421
0.00122748,392701
0.00122932,391982
0.00123117,391266
0.00123301,390553
0.00123485,389842
0.0012367,389133
0.00123854,388427
0.00124038,387723
0.00124223,387021
0.00124407,386321
0.00124407,386321
0.00124407,110000
0.00124407,110000
0.000103673,110000
0.000103673,110000
0.000103673,90000
0.000103673,90000
