# Результаты расчета кинематики КШМ
# Дата создания: Sat Nov 08 18:34:08 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.02 м
# λ: 0.3
# Частота вращения: 4800 об/мин
# Угол развала: 0 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361

alpha[град];stroke_full[м];stroke1[м];stroke2[м];velocity_full[м/с];velocity1[м/с];velocity2[м/с];acceleration_full[м/с²];acceleration1[м/с²];acceleration2[м/с²];betta_rod[рад];omega_rod[рад/с];eps_rod[рад/с²]
99.000000;0.026122;0.023129;0.002927;9.441430;9.929326;-0.465987;-2296.326442;-790.500498;-1441.774323;17.235898;-24.698918;-74684.597924
100.000000;0.026449;0.023473;0.002910;9.360514;9.900367;-0.515754;-2364.018832;-877.485475;-1424.546984;17.184063;-27.409053;-74425.058460
101.000000;0.026773;0.023816;0.002891;9.277287;9.868393;-0.564893;-2429.525659;-964.203162;-1405.584054;17.126847;-30.108475;-74138.969248
102.000000;0.027093;0.024158;0.002870;9.191823;9.833412;-0.613344;-2492.853538;-1050.627143;-1384.908637;17.064273;-32.796156;-73826.556253
103.000000;0.027411;0.024499;0.002848;9.104197;9.795436;-0.661048;-2554.011983;-1136.731093;-1362.545921;16.996364;-35.471079;-73488.064589
104.000000;0.027725;0.024838;0.002824;9.014486;9.754477;-0.707946;-2613.013324;-1222.488784;-1338.523154;16.923147;-38.132238;-73123.757897
105.000000;0.028037;0.025176;0.002799;8.922763;9.710546;-0.753982;-2669.872624;-1307.874092;-1312.869602;16.844651;-40.778642;-72733.917695
106.000000;0.028345;0.025513;0.002772;8.829102;9.663657;-0.799099;-2724.607583;-1392.861010;-1285.616521;16.760905;-43.409314;-72318.842679
107.000000;0.028650;0.025847;0.002744;8.733578;9.613824;-0.843243;-2777.238450;-1477.423649;-1256.797114;16.671941;-46.023291;-71878.847996
108.000000;0.028951;0.026180;0.002714;8.636263;9.561063;-0.886359;-2827.787916;-1561.536250;-1226.446493;16.577795;-48.619626;-71414.264489
