# Результаты расчета кинематики КШМ
# Дата создания: Sat Oct 25 23:52:18 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.0756 м
# λ: 0.27
# Частота вращения: 5600 об/мин
# Угол развала: 90 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361
# Расчет выполнен для главного и бокового цилиндров
# Боковой цилиндр имеет угол развала: 90 град.

ГЛАВНЫЙ ЦИЛИНДР:
==================================================================================================================================
|  α [град] |   S полн [м]  |   S1 [м]   |   S2 [м]   |  V полн [м/с] |   V1 [м/с]  |   V2 [м/с]  | A полн [м/с²] |  A1 [м/с²]  |  A2 [м/с²]  |
|  137.0000 |       0.1357 |     0.1309 |     0.0047 |       24.1614 |     30.2358 |     -5.9705 |   -18382.1353 | -19014.3967 |    489.6699 |
|  138.0000 |       0.1364 |     0.1318 |     0.0046 |       23.6134 |     29.6653 |     -5.9523 |   -18441.9235 | -19320.9530 |    733.7590 |
|  139.0000 |       0.1371 |     0.1327 |     0.0044 |       23.0637 |     29.0858 |     -5.9269 |   -18497.3713 | -19621.6240 |    976.9541 |
|  140.0000 |       0.1378 |     0.1335 |     0.0042 |       22.5124 |     28.4974 |     -5.8942 |   -18548.6748 | -19916.3180 |   1218.9589 |
|  141.0000 |       0.1384 |     0.1344 |     0.0040 |       21.9597 |     27.9004 |     -5.8543 |   -18596.0276 | -20204.9453 |   1459.4787 |
|  142.0000 |       0.1391 |     0.1352 |     0.0039 |       21.4056 |     27.2948 |     -5.8073 |   -18639.6204 | -20487.4181 |   1698.2203 |
|  143.0000 |       0.1397 |     0.1360 |     0.0037 |       20.8502 |     26.6810 |     -5.7533 |   -18679.6411 | -20763.6501 |   1934.8929 |
|  144.0000 |       0.1403 |     0.1368 |     0.0035 |       20.2937 |     26.0590 |     -5.6922 |   -18716.2739 | -21033.5574 |   2169.2081 |
|  145.0000 |       0.1409 |     0.1375 |     0.0034 |       19.7362 |     25.4290 |     -5.6242 |   -18749.7000 | -21297.0576 |   2400.8804 |
|  146.0000 |       0.1415 |     0.1383 |     0.0032 |       19.1777 |     24.7913 |     -5.5493 |   -18780.0967 | -21554.0705 |   2629.6277 |
|  147.0000 |       0.1420 |     0.1390 |     0.0030 |       18.6183 |     24.1461 |     -5.4677 |   -18807.6374 | -21804.5178 |   2855.1712 |
|  148.0000 |       0.1426 |     0.1397 |     0.0029 |       18.0582 |     23.4935 |     -5.3794 |   -18832.4918 | -22048.3233 |   3077.2360 |
|  149.0000 |       0.1431 |     0.1404 |     0.0027 |       17.4974 |     22.8338 |     -5.2845 |   -18854.8253 | -22285.4127 |   3295.5518 |
|  150.0000 |       0.1436 |     0.1411 |     0.0026 |       16.9359 |     22.1671 |     -5.1833 |   -18874.7991 | -22515.7137 |   3509.8524 |
|  151.0000 |       0.1441 |     0.1417 |     0.0024 |       16.3739 |     21.4936 |     -5.0757 |   -18892.5700 | -22739.1562 |   3719.8768 |
|  152.0000 |       0.1446 |     0.1424 |     0.0022 |       15.8114 |     20.8136 |     -4.9619 |   -18908.2904 | -22955.6721 |   3925.3691 |
|  153.0000 |       0.1451 |     0.1430 |     0.0021 |       15.2484 |     20.1273 |     -4.8421 |   -18922.1079 | -23165.1955 |   4126.0790 |
|  154.0000 |       0.1455 |     0.1435 |     0.0020 |       14.6851 |     19.4348 |     -4.7163 |   -18934.1656 | -23367.6626 |   4321.7618 |
|  155.0000 |       0.1459 |     0.1441 |     0.0018 |       14.1214 |     18.7364 |     -4.5849 |   -18944.6018 | -23563.0116 |   4512.1793 |
|  156.0000 |       0.1464 |     0.1447 |     0.0017 |       13.5575 |     18.0323 |     -4.4478 |   -18953.5499 | -23751.1831 |   4697.0993 |
|  157.0000 |       0.1468 |     0.1452 |     0.0016 |       12.9932 |     17.3227 |     -4.3053 |   -18961.1384 | -23932.1198 |   4876.2967 |
|  158.0000 |       0.1471 |     0.1457 |     0.0014 |       12.4288 |     16.6079 |     -4.1576 |   -18967.4907 | -24105.7665 |   5049.5531 |
|  159.0000 |       0.1475 |     0.1462 |     0.0013 |       11.8642 |     15.8879 |     -4.0048 |   -18972.7255 | -24272.0704 |   5216.6573 |
|  160.0000 |       0.1478 |     0.1466 |     0.0012 |       11.2995 |     15.1632 |     -3.8472 |   -18976.9561 | -24430.9808 |   5377.4059 |
|  161.0000 |       0.1482 |     0.1471 |     0.0011 |       10.7347 |     14.4338 |     -3.6848 |   -18980.2908 | -24582.4492 |   5531.6029 |
|  162.0000 |       0.1485 |     0.1475 |     0.0010 |       10.1697 |     13.7000 |     -3.5180 |   -18982.8327 | -24726.4296 |   5679.0605 |
