# Результаты расчета кинематики КШМ
# Дата создания: Sun Oct 26 22:47:46 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.02 м
# λ: 0.3
# Частота вращения: 4800 об/мин
# Угол развала: 0 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361

alpha[град];stroke_full[м];velocity_full[м/с];acceleration_full[м/с²];betta_rod[рад];omega_rod[рад/с];eps_rod[рад/с²]
197.000000;0.039383;-2.092735;-3559.985196;-5.031966;-144.765297;20323.185353
198.000000;0.039308;-2.216385;-3562.225457;-5.319249;-144.036220;21499.743663
199.000000;0.039229;-2.340112;-3564.473179;-5.605040;-143.265823;22672.902586
200.000000;0.039146;-2.463918;-3566.708131;-5.889258;-142.454172;23842.430938
201.000000;0.039058;-2.587800;-3568.908957;-6.171820;-141.601338;25008.090996
202.000000;0.038966;-2.711758;-3571.053181;-6.452644;-140.707401;26169.638245
203.000000;0.038870;-2.835789;-3573.117201;-6.731650;-139.772446;27326.821131
204.000000;0.038769;-2.959890;-3575.076295;-7.008754;-138.796564;28479.380841
205.000000;0.038664;-3.084057;-3576.904617;-7.283877;-137.779856;29627.051090
206.000000;0.038555;-3.208284;-3578.575203;-7.556936;-136.722429;30769.557932
207.000000;0.038441;-3.332567;-3580.059976;-7.827851;-135.624400;31906.619587
208.000000;0.038323;-3.456897;-3581.329749;-8.096541;-134.485894;33037.946284
209.000000;0.038201;-3.581267;-3582.354235;-8.362927;-133.307045;34163.240133
210.000000;0.038075;-3.705668;-3583.102054;-8.626927;-132.087998;35282.195007
211.000000;0.037944;-3.830090;-3583.540745;-8.888461;-130.828908;36394.496459
212.000000;0.037809;-3.954521;-3583.636779;-9.147452;-129.529939;37499.821653
213.000000;0.037669;-4.078949;-3583.355573;-9.403818;-128.191269;38597.839322
214.000000;0.037526;-4.203361;-3582.661511;-9.657482;-126.813087;39688.209757
215.000000;0.037377;-4.327740;-3581.517958;-9.908366;-125.395592;40770.584812
216.000000;0.037225;-4.452072;-3579.887291;-10.156390;-123.938999;41844.607945
217.000000;0.037068;-4.576337;-3577.730917;-10.401477;-122.443535;42909.914288
218.000000;0.036907;-4.700519;-3575.009306;-10.643551;-120.909440;43966.130738
219.000000;0.036742;-4.824595;-3571.682022;-10.882535;-119.336970;45012.876084
220.000000;0.036572;-4.948545;-3567.707757;-11.118353;-117.726394;46049.761168
221.000000;0.036398;-5.072344;-3563.044371;-11.350929;-116.077998;47076.389068
222.000000;0.036220;-5.195970;-3557.648930;-11.580188;-114.392082;48092.355323
223.000000;0.036037;-5.319394;-3551.477756;-11.806056;-112.668965;49097.248185
224.000000;0.035851;-5.442591;-3544.486475;-12.028459;-110.908981;50090.648906
225.000000;0.035659;-5.565529;-3536.630066;-12.247324;-109.112480;51072.132061
226.000000;0.035464;-5.688179;-3527.862922;-12.462580;-107.279832;52041.265898
227.000000;0.035264;-5.810509;-3518.138910;-12.674153;-105.411425;52997.612732
228.000000;0.035061;-5.932483;-3507.411432;-12.881975;-103.507663;53940.729363
229.000000;0.034852;-6.054067;-3495.633499;-13.085974;-101.568973;54870.167540
230.000000;0.034640;-6.175223;-3482.757798;-13.286082;-99.595797;55785.474447
231.000000;0.034424;-6.295912;-3468.736772;-13.482231;-97.588599;56686.193228
232.000000;0.034203;-6.416093;-3453.522699;-13.674353;-95.547864;57571.863550
233.000000;0.033978;-6.535725;-3437.067777;-13.862382;-93.474094;58442.022188
234.000000;0.033749;-6.654764;-3419.324210;-14.046253;-91.367815;59296.203650
235.000000;0.033516;-6.773163;-3400.244302;-14.225901;-89.229571;60133.940831
236.000000;0.033279;-6.890876;-3379.780552;-14.401265;-87.059929;60954.765694
237.000000;0.033037;-7.007853;-3357.885752;-14.572281;-84.859476;61758.209980
238.000000;0.032792;-7.124045;-3334.513086;-14.738890;-82.628820;62543.805949
239.000000;0.032543;-7.239399;-3309.616243;-14.901031;-80.368591;63311.087137
240.000000;0.032289;-7.353861;-3283.149517;-15.058647;-78.079441;64059.589149
241.000000;0.032032;-7.467377;-3255.067920;-15.211681;-75.762041;64788.850459
242.000000;0.031771;-7.579889;-3225.327297;-15.360077;-73.417087;65498.413242
243.000000;0.031506;-7.691338;-3193.884437;-15.503780;-71.045292;66187.824213
244.000000;0.031237;-7.801666;-3160.697192;-15.642740;-68.647394;66856.635483
245.000000;0.030964;-7.910810;-3125.724595;-15.776903;-66.224150;67504.405431
246.000000;0.030687;-8.018709;-3088.926974;-15.906221;-63.776337;68130.699580
247.000000;0.030407;-8.125298;-3050.266079;-16.030645;-61.304755;68735.091475
248.000000;0.030123;-8.230511;-3009.705194;-16.150129;-58.810221;69317.163576
249.000000;0.029835;-8.334283;-2967.209262;-16.264629;-56.293574;69876.508136
250.000000;0.029544;-8.436544;-2922.744998;-16.374100;-53.755672;70412.728085
251.000000;0.029250;-8.537228;-2876.281011;-16.478502;-51.197391;70925.437905
252.000000;0.028951;-8.636263;-2827.787916;-16.577795;-48.619626;71414.264489
253.000000;0.028650;-8.733578;-2777.238450;-16.671941;-46.023291;71878.847996
254.000000;0.028345;-8.829102;-2724.607583;-16.760905;-43.409314;72318.842679
255.000000;0.028037;-8.922763;-2669.872624;-16.844651;-40.778642;72733.917695
256.000000;0.027725;-9.014486;-2613.013324;-16.923147;-38.132238;73123.757897
257.000000;0.027411;-9.104197;-2554.011983;-16.996364;-35.471079;73488.064589
258.000000;0.027093;-9.191823;-2492.853538;-17.064273;-32.796156;73826.556253
259.000000;0.026773;-9.277287;-2429.525659;-17.126847;-30.108475;74138.969248
260.000000;0.026449;-9.360514;-2364.018832;-17.184063;-27.409053;74425.058460
261.000000;0.026122;-9.441430;-2296.326442;-17.235898;-24.698918;74684.597924
262.000000;0.025793;-9.519956;-2226.444842;-17.282331;-21.979112;74917.381393
263.000000;0.025461;-9.596018;-2154.373423;-17.323344;-19.250683;75123.222864
264.000000;0.025127;-9.669540;-2080.114675;-17.358922;-16.514691;75301.957063
265.000000;0.024790;-9.740446;-2003.674237;-17.389049;-13.772201;75453.439863
266.000000;0.024451;-9.808659;-1925.060944;-17.413716;-11.024286;75577.548667
