# Результаты расчета кинематики КШМ
# Дата создания: Sat Nov 08 18:34:09 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.02 м
# λ: 0.3
# Частота вращения: 4800 об/мин
# Угол развала: 0 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361

ГЛАВНЫЙ ЦИЛИНДР:
==================================================================================================================================
|  α [град] |   S полн [м]  |   S1 [м]   |   S2 [м]   |  V полн [м/с] |   V1 [м/с]  |   V2 [м/с]  | A полн [м/с²] |  A1 [м/с²]  |  A2 [м/с²]  |
|   68.0000 |       0.0151 |     0.0125 |     0.0026 |       10.4116 |      9.3211 |      1.0475 |      776.2469 |   1892.9761 |  -1090.4984 |
|   69.0000 |       0.0155 |     0.0128 |     0.0026 |       10.4365 |      9.3854 |      1.0090 |      654.6274 |   1810.9183 |  -1126.5862 |
|   70.0000 |       0.0159 |     0.0132 |     0.0026 |       10.4571 |      9.4468 |      0.9693 |      533.8730 |   1728.3090 |  -1161.3013 |
|   71.0000 |       0.0162 |     0.0135 |     0.0027 |       10.4736 |      9.5054 |      0.9284 |      414.0654 |   1645.1732 |  -1194.6016 |
|   72.0000 |       0.0166 |     0.0138 |     0.0027 |       10.4859 |      9.5611 |      0.8864 |      295.2846 |   1561.5362 |  -1226.4465 |
|   73.0000 |       0.0170 |     0.0142 |     0.0027 |       10.4941 |      9.6138 |      0.8432 |      177.6088 |   1477.4236 |  -1256.7971 |
|   74.0000 |       0.0173 |     0.0145 |     0.0028 |       10.4982 |      9.6637 |      0.7991 |       61.1144 |   1392.8610 |  -1285.6165 |
|   75.0000 |       0.0177 |     0.0148 |     0.0028 |       10.4983 |      9.7105 |      0.7540 |      -54.1244 |   1307.8741 |  -1312.8696 |
|   76.0000 |       0.0180 |     0.0152 |     0.0028 |       10.4945 |      9.7545 |      0.7079 |     -168.0358 |   1222.4888 |  -1338.5232 |
|   77.0000 |       0.0184 |     0.0155 |     0.0028 |       10.4867 |      9.7954 |      0.6610 |     -280.5498 |   1136.7311 |  -1362.5459 |
|   78.0000 |       0.0188 |     0.0158 |     0.0029 |       10.4750 |      9.8334 |      0.6133 |     -391.5993 |   1050.6271 |  -1384.9086 |
|   79.0000 |       0.0191 |     0.0162 |     0.0029 |       10.4595 |      9.8684 |      0.5649 |     -501.1193 |    964.2032 |  -1405.5841 |
|   80.0000 |       0.0195 |     0.0165 |     0.0029 |       10.4402 |      9.9004 |      0.5158 |     -609.0479 |    877.4855 |  -1424.5470 |
|   81.0000 |       0.0199 |     0.0169 |     0.0029 |       10.4172 |      9.9293 |      0.4660 |     -715.3254 |    790.5005 |  -1441.7743 |
|   82.0000 |       0.0202 |     0.0172 |     0.0029 |       10.3906 |      9.9553 |      0.4157 |     -819.8954 |    703.2747 |  -1457.2451 |
|   83.0000 |       0.0206 |     0.0176 |     0.0030 |       10.3603 |      9.9782 |      0.3648 |     -922.7040 |    615.8347 |  -1470.9404 |
|   84.0000 |       0.0209 |     0.0179 |     0.0030 |       10.3265 |      9.9980 |      0.3135 |    -1023.7004 |    528.2071 |  -1482.8436 |
|   85.0000 |       0.0213 |     0.0183 |     0.0030 |       10.2892 |     10.0148 |      0.2619 |    -1122.8369 |    440.4187 |  -1492.9402 |
|   86.0000 |       0.0217 |     0.0186 |     0.0030 |       10.2486 |     10.0286 |      0.2099 |    -1220.0689 |    352.4960 |  -1501.2179 |
|   87.0000 |       0.0220 |     0.0190 |     0.0030 |       10.2045 |     10.0393 |      0.1576 |    -1315.3548 |    264.4660 |  -1507.6666 |
|   88.0000 |       0.0224 |     0.0193 |     0.0030 |       10.1572 |     10.0470 |      0.1052 |    -1408.6564 |    176.3554 |  -1512.2784 |
|   89.0000 |       0.0227 |     0.0197 |     0.0030 |       10.1067 |     10.0516 |      0.0526 |    -1499.9387 |     88.1912 |  -1515.0477 |
|   90.0000 |       0.0231 |     0.0200 |     0.0030 |       10.0531 |     10.0531 |      0.0000 |    -1589.1697 |      0.0000 |  -1515.9712 |
|   91.0000 |       0.0234 |     0.0203 |     0.0030 |        9.9964 |     10.0516 |     -0.0526 |    -1676.3210 |    -88.1912 |  -1515.0477 |
|   92.0000 |       0.0238 |     0.0207 |     0.0030 |        9.9367 |     10.0470 |     -0.1052 |    -1761.3673 |   -176.3554 |  -1512.2784 |
|   93.0000 |       0.0241 |     0.0210 |     0.0030 |        9.8741 |     10.0393 |     -0.1576 |    -1844.2869 |   -264.4660 |  -1507.6666 |
|   94.0000 |       0.0245 |     0.0214 |     0.0030 |        9.8087 |     10.0286 |     -0.2099 |    -1925.0609 |   -352.4960 |  -1501.2179 |
|   95.0000 |       0.0248 |     0.0217 |     0.0030 |        9.7404 |     10.0148 |     -0.2619 |    -2003.6742 |   -440.4187 |  -1492.9402 |
|   96.0000 |       0.0251 |     0.0221 |     0.0030 |        9.6695 |      9.9980 |     -0.3135 |    -2080.1147 |   -528.2071 |  -1482.8436 |
|   97.0000 |       0.0255 |     0.0224 |     0.0030 |        9.5960 |      9.9782 |     -0.3648 |    -2154.3734 |   -615.8347 |  -1470.9404 |
|   98.0000 |       0.0258 |     0.0228 |     0.0029 |        9.5200 |      9.9553 |     -0.4157 |    -2226.4448 |   -703.2747 |  -1457.2451 |
|   99.0000 |       0.0261 |     0.0231 |     0.0029 |        9.4414 |      9.9293 |     -0.4660 |    -2296.3264 |   -790.5005 |  -1441.7743 |
|  100.0000 |       0.0264 |     0.0235 |     0.0029 |        9.3605 |      9.9004 |     -0.5158 |    -2364.0188 |   -877.4855 |  -1424.5470 |
|  101.0000 |       0.0268 |     0.0238 |     0.0029 |        9.2773 |      9.8684 |     -0.5649 |    -2429.5257 |   -964.2032 |  -1405.5841 |
|  102.0000 |       0.0271 |     0.0242 |     0.0029 |        9.1918 |      9.8334 |     -0.6133 |    -2492.8535 |  -1050.6271 |  -1384.9086 |
|  103.0000 |       0.0274 |     0.0245 |     0.0028 |        9.1042 |      9.7954 |     -0.6610 |    -2554.0120 |  -1136.7311 |  -1362.5459 |
|  104.0000 |       0.0277 |     0.0248 |     0.0028 |        9.0145 |      9.7545 |     -0.7079 |    -2613.0133 |  -1222.4888 |  -1338.5232 |
|  105.0000 |       0.0280 |     0.0252 |     0.0028 |        8.9228 |      9.7105 |     -0.7540 |    -2669.8726 |  -1307.8741 |  -1312.8696 |
|  106.0000 |       0.0283 |     0.0255 |     0.0028 |        8.8291 |      9.6637 |     -0.7991 |    -2724.6076 |  -1392.8610 |  -1285.6165 |
|  107.0000 |       0.0286 |     0.0258 |     0.0027 |        8.7336 |      9.6138 |     -0.8432 |    -2777.2385 |  -1477.4236 |  -1256.7971 |
|  108.0000 |       0.0290 |     0.0262 |     0.0027 |        8.6363 |      9.5611 |     -0.8864 |    -2827.7879 |  -1561.5362 |  -1226.4465 |
|  109.0000 |       0.0292 |     0.0265 |     0.0027 |        8.5372 |      9.5054 |     -0.9284 |    -2876.2810 |  -1645.1732 |  -1194.6016 |
|  110.0000 |       0.0295 |     0.0268 |     0.0026 |        8.4365 |      9.4468 |     -0.9693 |    -2922.7450 |  -1728.3090 |  -1161.3013 |
|  111.0000 |       0.0298 |     0.0272 |     0.0026 |        8.3343 |      9.3854 |     -1.0090 |    -2967.2093 |  -1810.9183 |  -1126.5862 |
|  112.0000 |       0.0301 |     0.0275 |     0.0026 |        8.2305 |      9.3211 |     -1.0475 |    -3009.7052 |  -1892.9761 |  -1090.4984 |
|  113.0000 |       0.0304 |     0.0278 |     0.0025 |        8.1253 |      9.2539 |     -1.0847 |    -3050.2661 |  -1974.4572 |  -1053.0821 |
|  114.0000 |       0.0307 |     0.0281 |     0.0025 |        8.0187 |      9.1840 |     -1.1206 |    -3088.9270 |  -2055.3368 |  -1014.3828 |
|  115.0000 |       0.0310 |     0.0285 |     0.0025 |        7.9108 |      9.1112 |     -1.1552 |    -3125.7246 |  -2135.5904 |   -974.4475 |
|  116.0000 |       0.0312 |     0.0288 |     0.0024 |        7.8017 |      9.0357 |     -1.1883 |    -3160.6972 |  -2215.1935 |   -933.3251 |
|  117.0000 |       0.0315 |     0.0291 |     0.0024 |        7.6913 |      8.9574 |     -1.2200 |    -3193.8844 |  -2294.1218 |   -891.0655 |
