alpha_deg,P_gas_N,F_in_N,F_sum_N,beta_rad,K_N,N_N,Z_N,T_N,M_Nm,a_p_mps2
340,15964.3,-12479,3485.38,-0.114255,3508.25,-399.964,3138.39,-1567.91,-94.0748,11937.4
340.5,16296.9,-12549.7,3747.19,-0.1115,3770.6,-419.551,3392.21,-1646.32,-98.7794,12005.1
341,16633.2,-12618.8,4014.42,-0.108737,4038.27,-438.244,3653.03,-1721.33,-103.28,12071.1
341.5,16973,-12686.2,4286.77,-0.105966,4310.95,-455.961,3920.56,-1792.61,-107.557,12135.7
342,17316,-12752.1,4563.9,-0.103189,4588.31,-472.621,4194.48,-1859.81,-111.589,12198.7
342.5,17661.7,-12816.3,4845.45,-0.100404,4869.98,-488.143,4474.4,-1922.61,-115.356,12260.1
343,18009.8,-12878.8,5131.02,-0.0976122,5155.56,-502.447,4759.92,-1980.66,-118.839,12319.9
343.5,18359.9,-12939.7,5420.16,-0.0948138,5444.62,-515.452,5050.56,-2033.63,-122.018,12378.2
344,18711.3,-12998.9,5712.41,-0.0920089,5736.68,-527.081,5345.84,-2081.22,-124.873,12434.8
344.5,19063.6,-13056.4,6007.25,-0.0891977,6031.23,-537.258,5645.19,-2123.09,-127.385,12489.8
345,19416.3,-13112.2,6304.13,-0.0863804,6327.72,-545.912,5948.03,-2158.94,-129.536,12543.2
345.5,19768.7,-13166.2,6602.46,-0.0835572,6625.58,-552.971,6253.71,-2188.48,-131.309,12594.9
346,20120.2,-13218.6,6901.63,-0.0807283,6924.18,-558.37,6561.54,-2211.44,-132.686,12644.9
346.5,20470.2,-13269.2,7200.98,-0.0778939,7222.88,-562.049,6870.8,-2227.55,-133.653,12693.4
347,20817.8,-13318,7499.8,-0.0750541,7520.97,-563.95,7180.72,-2236.58,-134.195,12740.1
347.5,21162.5,-13365.1,7797.38,-0.0722093,7817.75,-564.024,7490.48,-2238.32,-134.299,12785.1
348,21503.4,-13410.5,8092.96,-0.0693595,8112.47,-562.225,7799.22,-2232.56,-133.954,12828.5
348.5,21839.8,-13454,8385.75,-0.066505,8404.33,-558.518,8106.05,-2219.15,-133.149,12870.2
349,22170.7,-13495.8,8674.93,-0.063646,8692.53,-552.871,8410.06,-2197.97,-131.878,12910.1
349.5,22495.4,-13535.7,8959.68,-0.0607826,8976.25,-545.264,8710.28,-2168.91,-130.134,12948.3
350,22813,-13573.9,9239.13,-0.0579151,9254.64,-535.684,9005.74,-2131.9,-127.914,12984.9
350.5,23122.7,-13610.3,9512.41,-0.0550437,9526.83,-524.127,9295.44,-2086.94,-125.216,13019.6
351,23423.4,-13644.8,9778.63,-0.0521685,9791.96,-510.6,9578.37,-2034.03,-122.042,13052.7
351.5,23714.4,-13677.5,10036.9,-0.0492898,10049.1,-495.118,9853.49,-1973.23,-118.394,13083.9
352,23994.7,-13708.4,10286.4,-0.0464077,10297.5,-477.71,10119.8,-1904.65,-114.279,13113.5
352.5,24263.5,-13737.4,10526.1,-0.0435225,10536.1,-458.412,10376.2,-1828.42,-109.705,13141.2
353,24519.8,-13764.6,10755.3,-0.0406343,10764.1,-437.273,10621.8,-1744.75,-104.685,13167.3
353.5,24762.9,-13789.9,10972.9,-0.0377434,10980.8,-414.352,10855.5,-1653.86,-99.2316,13191.5
354,24991.7,-13813.4,11178.3,-0.0348499,11185.1,-389.721,11076.4,-1556.04,-93.3624,13213.9
354.5,25205.7,-13835,11370.6,-0.031954,11376.4,-363.461,11283.5,-1451.61,-87.0969,13234.6
355,25403.8,-13854.8,11549.1,-0.029056,11553.9,-335.664,11475.9,-1340.95,-80.4572,13253.5
355.5,25585.6,-13872.7,11712.9,-0.026156,11716.9,-306.432,11652.7,-1224.47,-73.4682,13270.6
356,25750.1,-13888.7,11861.4,-0.0232543,11864.6,-275.879,11813.3,-1102.62,-66.1571,13286
356.5,25896.9,-13902.8,11994.1,-0.0203509,11996.6,-244.124,11956.8,-975.889,-58.5534,13299.5
357,26025.3,-13915.1,12110.2,-0.0174462,12112.1,-211.299,12082.6,-844.809,-50.6886,13311.2
357.5,26134.8,-13925.4,12209.4,-0.0145403,12210.7,-177.541,12190,-709.938,-42.5963,13321.1
358,26225.1,-13933.9,12291.1,-0.0116334,12292,-142.994,12278.7,-571.862,-34.3117,13329.3
358.5,26295.6,-13940.5,12355.1,-0.00872576,12355.6,-107.81,12348,-431.192,-25.8715,13335.6
359,26346.3,-13945.3,12401,-0.0058175,12401.2,-72.1436,12397.8,-288.56,-17.3136,13340.1
359.5,26376.7,-13948.1,12428.6,-0.00290885,12428.7,-36.1531,12427.8,-144.61,-8.67662,13342.8
360,52773.7,-13949,38824.7,0,38824.7,0,38824.7,0,0,13343.7
360.5,52773.7,-13948.1,38825.6,0.00290885,38825.8,112.938,38823.2,451.747,27.1048,13342.8
361,52773.7,-13945.3,38828.5,0.0058175,38829.1,225.887,38818.6,903.503,54.2102,13340.1
361.5,52773.7,-13940.5,38833.2,0.00872576,38834.7,338.858,38811,1355.28,81.3166,13335.6
