alpha_deg,P_gas_N,F_in_N,F_sum_N,beta_rad,K_N,N_N,Z_N,T_N,M_Nm,a_p_mps2
128.5,1194.59,8451.72,9646.31,0.263923,9992.3,2606.68,-8044.98,5926.58,325.962,-4391.37
129,1194.59,8462.13,9656.72,0.262037,9998.01,2589.97,-8089.95,5874.76,323.112,-4396.78
129.5,1194.59,8471.7,9666.29,0.260132,10002.8,2572.81,-8133.76,5822.24,320.223,-4401.76
130,1194.59,8480.46,9675.05,0.258208,10006.8,2555.21,-8176.41,5769.06,317.298,-4406.31
130.5,1194.59,8488.42,9683.01,0.256264,10009.9,2537.19,-8217.91,5715.24,314.338,-4410.44
131,1194.59,8495.59,9690.18,0.254302,10012.2,2518.76,-8258.26,5660.81,311.345,-4414.17
131.5,1194.59,8501.99,9696.58,0.252321,10013.7,2499.93,-8297.48,5605.81,308.319,-4417.49
132,1194.59,8507.64,9702.23,0.250321,10014.3,2480.7,-8335.58,5550.25,305.263,-4420.43
132.5,1194.59,8512.54,9707.13,0.248303,10014.3,2461.1,-8372.55,5494.16,302.179,-4422.98
133,1194.59,8516.73,9711.32,0.246266,10013.4,2441.12,-8408.43,5437.57,299.066,-4425.15
133.5,1194.59,8520.21,9714.8,0.244212,10011.9,2420.78,-8443.2,5380.51,295.928,-4426.96
134,1194.59,8523,9717.59,0.242139,10009.6,2400.1,-8476.9,5323,292.765,-4428.41
134.5,1194.59,8525.12,9719.71,0.240049,10006.6,2379.08,-8509.52,5265.07,289.579,-4429.51
135,1194.59,8526.59,9721.18,0.237941,10003,2357.73,-8541.08,5206.74,286.371,-4430.27
135.5,1194.59,8527.41,9722,0.235816,9998.72,2336.07,-8571.59,5148.04,283.142,-4430.7
136,1194.59,8527.61,9722.2,0.233674,9993.81,2314.09,-8601.07,5088.99,279.894,-4430.81
136.5,1194.59,8527.2,9721.79,0.231514,9988.28,2291.83,-8629.53,5029.61,276.629,-4430.6
137,1194.59,8526.21,9720.8,0.229338,9982.16,2269.27,-8656.98,4969.93,273.346,-4430.08
137.5,1194.59,8524.64,9719.23,0.227145,9975.47,2246.44,-8683.44,4909.97,270.048,-4429.26
138,1194.59,8522.52,9717.11,0.224936,9968.22,2223.35,-8708.93,4849.74,266.736,-4428.16
138.5,1194.59,8519.85,9714.44,0.22271,9960.44,2200,-8733.45,4789.28,263.411,-4426.77
139,1194.59,8516.66,9711.25,0.220468,9952.14,2176.4,-8757.02,4728.61,260.073,-4425.12
139.5,1194.59,8512.97,9707.56,0.21821,9943.35,2152.56,-8779.67,4667.73,256.725,-4423.2
140,1194.59,8508.79,9703.38,0.215937,9934.09,2128.5,-8801.39,4606.68,253.368,-4421.03
140.5,1194.59,8504.13,9698.72,0.213648,9924.36,2104.22,-8822.22,4545.48,250.001,-4418.61
141,1194.59,8499.02,9693.61,0.211343,9914.2,2079.74,-8842.17,4484.13,246.627,-4415.95
141.5,1194.59,8493.47,9688.06,0.209024,9903.62,2055.05,-8861.26,4422.66,243.246,-4413.07
142,1194.59,8487.5,9682.09,0.206689,9892.65,2030.17,-8879.49,4361.09,239.86,-4409.97
142.5,1194.59,8481.12,9675.71,0.20434,9881.29,2005.12,-8896.89,4299.43,236.469,-4406.65
143,1194.59,8474.35,9668.94,0.201975,9869.57,1979.88,-8913.49,4237.71,233.074,-4403.13
143.5,1194.59,8467.21,9661.8,0.199597,9857.51,1954.49,-8929.28,4175.93,229.676,-4399.42
144,1194.59,8459.71,9654.3,0.197204,9845.12,1928.94,-8944.3,4114.11,226.276,-4395.53
144.5,1194.59,8451.88,9646.47,0.194797,9832.43,1903.24,-8958.55,4052.27,222.875,-4391.46
145,1194.59,8443.71,9638.3,0.192377,9819.45,1877.4,-8972.07,3990.43,219.474,-4387.22
145.5,1194.59,8435.25,9629.84,0.189942,9806.2,1851.43,-8984.86,3928.59,216.072,-4382.81
146,1194.59,8426.48,9621.08,0.187494,9792.7,1825.34,-8996.95,3866.77,212.672,-4378.26
146.5,1194.59,8417.45,9612.04,0.185033,9778.96,1799.12,-9008.35,3804.98,209.274,-4373.57
147,1194.59,8408.15,9602.74,0.182559,9765.02,1772.8,-9019.08,3743.23,205.878,-4368.74
147.5,1194.59,8398.61,9593.21,0.180071,9750.87,1746.38,-9029.16,3681.54,202.485,-4363.78
148,1194.59,8388.85,9583.44,0.177571,9736.54,1719.86,-9038.6,3619.92,199.096,-4358.71
148.5,1194.59,8378.87,9573.46,0.175059,9722.05,1693.25,-9047.44,3558.38,195.711,-4353.52
149,1194.59,8368.69,9563.28,0.172534,9707.41,1666.56,-9055.68,3496.93,192.331,-4348.24
149.5,1194.59,8358.34,9552.93,0.169997,9692.64,1639.8,-9063.34,3435.58,188.957,-4342.85
150,1194.59,8347.81,9542.41,0.167448,9677.77,1612.96,-9070.45,3374.34,185.589,-4337.39
150.5,1194.59,8337.14,9531.73,0.164887,9662.79,1586.06,-9077.01,3313.21,182.227,-4331.84
151,1194.59,8326.33,9520.92,0.162315,9647.73,1559.1,-9083.06,3252.21,178.872,-4326.23
151.5,1194.59,8315.4,9509.99,0.159731,9632.61,1532.1,-9088.6,3191.34,175.524,-4320.55
152,1194.59,8304.36,9498.96,0.157136,9617.45,1505.04,-9093.65,3130.62,172.184,-4314.81
152.5,1194.59,8293.24,9487.83,0.15453,9602.25,1477.94,-9098.24,3070.04,168.852,-4309.03
153,1194.59,8282.03,9476.62,0.151914,9587.03,1450.81,-9102.38,3009.62,165.529,-4303.21
153.5,1194.59,8270.76,9465.35,0.149286,9571.81,1423.64,-9106.09,2949.35,162.214,-4297.35
154,1194.59,8259.44,9454.03,0.146649,9556.61,1396.45,-9109.39,2889.26,158.909,-4291.47
154.5,1194.59,8248.09,9442.68,0.144001,9541.44,1369.23,-9112.29,2829.33,155.613,-4285.57
155,1194.59,8236.71,9431.3,0.141343,9526.3,1342,-9114.82,2769.58,152.327,-4279.66
