alpha_deg,P,V
346,2.11718e+06,0.000126181
346.5,2.154e+06,0.000124614
347,2.19059e+06,0.000123102
347.5,2.22686e+06,0.000121646
348,2.26273e+06,0.000120246
348.5,2.29812e+06,0.000118901
349,2.33294e+06,0.000117612
349.5,2.36711e+06,0.00011638
350,2.40053e+06,0.000115203
350.5,2.43311e+06,0.000114083
351,2.46476e+06,0.00011302
351.5,2.49538e+06,0.000112013
352,2.52488e+06,0.000111063
352.5,2.55316e+06,0.000110171
353,2.58013e+06,0.000109335
353.5,2.60571e+06,0.000108556
354,2.62979e+06,0.000107835
354.5,2.6523e+06,0.000107171
355,2.67315e+06,0.000106564
355.5,2.69228e+06,0.000106015
356,2.70959e+06,0.000105524
356.5,2.72504e+06,0.00010509
357,2.73855e+06,0.000104714
357.5,2.75007e+06,0.000104396
358,2.75957e+06,0.000104136
358.5,2.767e+06,0.000103933
359,2.77232e+06,0.000103788
359.5,2.77553e+06,0.000103702
360,5.55319e+06,0.000103673
360.5,5.55319e+06,0.000103702
361,5.55319e+06,0.000103788
361.5,5.55319e+06,0.000103933
362,5.55319e+06,0.000104136
362.5,5.55319e+06,0.000104396
363,5.55319e+06,0.000104714
363.5,5.55319e+06,0.00010509
364,5.55319e+06,0.000105524
364.5,5.55319e+06,0.000106015
365,5.55319e+06,0.000106564
365.5,5.55319e+06,0.000107171
366,5.55319e+06,0.000107835
366.5,5.55319e+06,0.000108556
367,5.55319e+06,0.000109335
367.5,5.55319e+06,0.000110171
368,5.55319e+06,0.000111063
368.5,5.55319e+06,0.000112013
369,5.55319e+06,0.00011302
369.5,5.55319e+06,0.000114083
370,5.55319e+06,0.000115203
370.5,5.55319e+06,0.00011638
371,5.55319e+06,0.000117612
371.5,5.55319e+06,0.000118901
372,5.55319e+06,0.000120246
372.5,5.55319e+06,0.000121646
373,5.55319e+06,0.000123102
373.5,5.55319e+06,0.000124614
374,5.55319e+06,0.000126181
374.5,5.55319e+06,0.000127803
375,5.55319e+06,0.00012948
375.5,5.55319e+06,0.000131211
376,5.55319e+06,0.000132997
376.5,5.55319e+06,0.000134837
377,5.55319e+06,0.00013673
377.5,5.55319e+06,0.000138678
378,5.51848e+06,0.000140679
378.5,5.42174e+06,0.000142733
379,5.32566e+06,0.000144841
379.5,5.23035e+06,0.000147001
380,5.13589e+06,0.000149213
380.5,5.04238e+06,0.000151477
381,4.94988e+06,0.000153794
381.5,4.85847e+06,0.000156162
382,4.7682e+06,0.000158581
382.5,4.67913e+06,0.000161051
383,4.59131e+06,0.000163571
383.5,4.50478e+06,0.000166143
384,4.41957e+06,0.000168764
384.5,4.33571e+06,0.000171434
385,4.25324e+06,0.000174154
385.5,4.17217e+06,0.000176923
386,4.09251e+06,0.000179741
386.5,4.01428e+06,0.000182607
387,3.9375e+06,0.000185521
387.5,3.86215e+06,0.000188483
388,3.78825e+06,0.000191491
388.5,3.71578e+06,0.000194547
389,3.64476e+06,0.000197649
389.5,3.57517e+06,0.000200797
390,3.507e+06,0.00020399
390.5,3.44024e+06,0.000207229
391,3.37489e+06,0.000210513
391.5,3.31091e+06,0.000213841
392,3.24831e+06,0.000217214
392.5,3.18706e+06,0.000220629
393,3.12714e+06,0.000224088
393.5,3.06854e+06,0.00022759
394,3.01124e+06,0.000231134
394.5,2.9552e+06,0.00023472
395,2.90043e+06,0.000238348
395.5,2.84688e+06,0.000242016
396,2.79454e+06,0.000245725
396.5,2.74339e+06,0.000249474
397,2.69341e+06,0.000253263
397.5,2.64456e+06,0.000257091
398,2.59684e+06,0.000260957
398.5,2.55021e+06,0.000264862
399,2.50465e+06,0.000268804
399.5,2.46014e+06,0.000272784
400,2.41666e+06,0.000276801
400.5,2.37419e+06,0.000280853
401,2.33269e+06,0.000284942
401.5,2.29216e+06,0.000289065
402,2.25256e+06,0.000293224
402.5,2.21388e+06,0.000297416
403,2.1761e+06,0.000301643
403.5,2.13919e+06,0.000305902
404,2.10313e+06,0.000310195
404.5,2.0679e+06,0.000314519
405,2.03349e+06,0.000318876
405.5,1.99987e+06,0.000323263
406,1.96702e+06,0.000327681
406.5,1.93493e+06,0.000332129
407,1.90358e+06,0.000336607
407.5,1.87294e+06,0.000341113
408,1.843e+06,0.000345648
408.5,1.81375e+06,0.000350211
409,1.78516e+06,0.000354802
409.5,1.75722e+06,0.000359419
410,1.72992e+06,0.000364062
410.5,1.70323e+06,0.000368732
411,1.67714e+06,0.000373426
411.5,1.65164e+06,0.000378145
412,1.62671e+06,0.000382889
412.5,1.60234e+06,0.000387655
413,1.57852e+06,0.000392445
413.5,1.55522e+06,0.000397257
414,1.53244e+06,0.000402091
414.5,1.51017e+06,0.000406946
415,1.48838e+06,0.000411822
415.5,1.46707e+06,0.000416718
416,1.44623e+06,0.000421634
416.5,1.42585e+06,0.000426569
417,1.40591e+06,0.000431522
417.5,1.3864e+06,0.000436493
418,1.36731e+06,0.000441481
418.5,1.34863e+06,0.000446487
419,1.33036e+06,0.000451508
419.5,1.31247e+06,0.000456545
420,1.29497e+06,0.000461597
420.5,1.27783e+06,0.000466664
421,1.26107e+06,0.000471744
421.5,1.24465e+06,0.000476838
422,1.22858e+06,0.000481945
422.5,1.21284e+06,0.000487064
423,1.19744e+06,0.000492194
423.5,1.18235e+06,0.000497336
424,1.16758e+06,0.000502488
424.5,1.15311e+06,0.00050765
425,1.13894e+06,0.000512822
425.5,1.12506e+06,0.000518003
426,1.11146e+06,0.000523191
426.5,1.09814e+06,0.000528388
427,1.08509e+06,0.000533592
427.5,1.0723e+06,0.000538802
428,1.05977e+06,0.000544018
428.5,1.04749e+06,0.000549241
429,1.03545e+06,0.000554468
429.5,1.02366e+06,0.000559699
430,1.0121e+06,0.000564934
430.5,1.00076e+06,0.000570173
431,989653,0.000575415
431.5,978760,0.000580659
432,968080,0.000585904
432.5,957607,0.000591151
433,947338,0.000596399
