alpha_deg,Z_plus_Pc_N,T_N,Pc_prime_N
306.5,6838.24,355.807,6974.52
307,6814.56,404.817,6974.52
307.5,6790.7,451.199,6974.52
308,6766.78,494.885,6974.52
308.5,6742.89,535.814,6974.52
309,6719.15,573.923,6974.52
309.5,6695.68,609.152,6974.52
310,6672.6,641.442,6974.52
310.5,6650.02,670.738,6974.52
311,6628.08,696.985,6974.52
311.5,6606.91,720.13,6974.52
312,6586.64,740.124,6974.52
312.5,6567.41,756.918,6974.52
313,6549.37,770.468,6974.52
313.5,6532.66,780.73,6974.52
314,6517.44,787.666,6974.52
314.5,6503.85,791.238,6974.52
315,6492.06,791.413,6974.52
315.5,6482.23,788.16,6974.52
316,6474.54,781.452,6974.52
316.5,6469.14,771.266,6974.52
317,6466.21,757.582,6974.52
317.5,6465.94,740.384,6974.52
318,6468.5,719.662,6974.52
318.5,6474.09,695.406,6974.52
319,6482.88,667.615,6974.52
319.5,6495.08,636.291,6974.52
320,6510.88,601.441,6974.52
320.5,6530.48,563.076,6974.52
321,6554.09,521.214,6974.52
321.5,6581.9,475.88,6974.52
322,6614.13,427.1,6974.52
322.5,6650.99,374.912,6974.52
323,6692.69,319.356,6974.52
323.5,6739.45,260.481,6974.52
324,6791.48,198.342,6974.52
324.5,6849.01,133.002,6974.52
325,6912.25,64.5313,6974.52
325.5,6981.42,-6.99309,6974.52
326,7056.74,-81.4846,6974.52
326.5,7138.43,-158.849,6974.52
327,7226.71,-238.983,6974.52
327.5,7321.79,-321.774,6974.52
328,7423.89,-407.101,6974.52
328.5,7533.23,-494.833,6974.52
329,7650.01,-584.828,6974.52
329.5,7774.43,-676.936,6974.52
330,7906.68,-770.994,6974.52
330.5,8046.98,-866.829,6974.52
331,8195.48,-964.259,6974.52
331.5,8352.38,-1063.09,6974.52
332,8517.83,-1163.11,6974.52
332.5,8692,-1264.11,6974.52
333,8875.01,-1365.85,6974.52
333.5,9067.01,-1468.09,6974.52
334,9268.1,-1570.58,6974.52
334.5,9478.37,-1673.06,6974.52
335,9697.91,-1775.24,6974.52
335.5,9926.76,-1876.84,6974.52
336,10165,-1977.55,6974.52
336.5,10412.5,-2077.07,6974.52
337,10669.4,-2175.06,6974.52
337.5,10935.6,-2271.19,6974.52
338,11211.1,-2365.12,6974.52
338.5,11495.6,-2456.5,6974.52
339,11789.1,-2544.95,6974.52
339.5,12091.3,-2630.12,6974.52
340,12402.2,-2711.61,6974.52
340.5,12721.3,-2789.06,6974.52
341,13048.4,-2862.07,6974.52
341.5,13383.2,-2930.24,6974.52
342,13725.2,-2993.2,6974.52
342.5,14073.9,-3050.55,6974.52
343,14429,-3101.9,6974.52
343.5,14789.8,-3146.86,6974.52
344,15155.7,-3185.07,6974.52
344.5,15526.2,-3216.16,6974.52
345,15900.3,-3239.78,6974.52
345.5,16277.5,-3255.58,6974.52
346,16656.9,-3263.25,6974.52
346.5,17037.5,-3262.48,6974.52
347,17418.6,-3253.02,6974.52
347.5,17799,-3234.59,6974.52
348,18177.9,-3207.01,6974.52
348.5,18554,-3170.06,6974.52
349,18926.4,-3123.63,6974.52
349.5,19293.9,-3067.58,6974.52
350,19655.2,-3001.87,6974.52
350.5,20009.3,-2926.47,6974.52
351,20354.9,-2841.42,6974.52
351.5,20690.8,-2746.79,6974.52
352,21015.7,-2642.7,6974.52
352.5,21328.5,-2529.35,6974.52
353,21627.9,-2406.97,6974.52
353.5,21912.6,-2275.86,6974.52
354,22181.7,-2136.35,6974.52
354.5,22433.8,-1988.84,6974.52
355,22668.1,-1833.79,6974.52
355.5,22883.3,-1671.7,6974.52
356,23078.7,-1503.11,6974.52
356.5,23253.2,-1328.63,6974.52
357,23406.2,-1148.9,6974.52
357.5,23536.9,-964.578,6974.52
358,23644.6,-776.388,6974.52
358.5,23729,-585.064,6974.52
359,23789.5,-391.369,6974.52
359.5,23826,-196.084,6974.52
360,54650.8,0,6974.52
360.5,54648.7,554.738,6974.52
361,54642.5,1109.47,6974.52
361.5,54632,1664.19,6974.52
362,54617.5,2218.91,6974.52
362.5,54598.7,2773.6,6974.52
363,54575.8,3328.27,6974.52
363.5,54548.7,3882.91,6974.52
364,54517.4,4437.51,6974.52
364.5,54481.9,4992.08,6974.52
365,54442.3,5546.6,6974.52
365.5,54398.4,6101.07,6974.52
366,54350.3,6655.48,6974.52
366.5,54297.9,7209.83,6974.52
367,54241.3,7764.11,6974.52
367.5,54180.5,8318.3,6974.52
368,54115.4,8872.4,6974.52
368.5,54046.1,9426.41,6974.52
369,53972.4,9980.3,6974.52
369.5,53894.4,10534.1,6974.52
370,53812.1,11087.7,6974.52
370.5,53725.5,11641.2,6974.52
371,53634.5,12194.6,6974.52
371.5,53539.1,12747.8,6974.52
372,53439.3,13300.8,6974.52
372.5,53335.1,13853.6,6974.52
373,53226.5,14406.1,6974.52
373.5,53113.5,14958.5,6974.52
374,52995.9,15510.6,6974.52
374.5,52873.9,16062.5,6974.52
375,52747.3,16614,6974.52
