alpha_deg,M_Nm,M_minus_Ms_Nm,A_cum_J
224,-221.433,-304.171,-276.323
224.5,-224.26,-306.999,-278.99
225,-227.08,-309.818,-281.682
225.5,-229.891,-312.63,-284.398
226,-232.694,-315.432,-287.138
226.5,-235.485,-318.224,-289.903
227,-238.266,-321.004,-292.692
227.5,-241.033,-323.772,-295.505
228,-243.787,-326.526,-298.343
228.5,-246.526,-329.265,-301.204
229,-249.25,-331.988,-304.089
229.5,-251.956,-334.694,-306.998
230,-254.644,-337.382,-309.931
230.5,-257.312,-340.051,-312.887
231,-259.96,-342.699,-315.866
231.5,-262.586,-345.324,-318.868
232,-265.188,-347.927,-321.893
232.5,-267.766,-350.505,-324.94
233,-270.319,-353.057,-328.01
233.5,-272.844,-355.583,-331.102
234,-275.341,-358.08,-334.216
234.5,-277.809,-360.547,-337.352
235,-280.245,-362.983,-340.509
235.5,-282.649,-365.387,-343.687
236,-285.019,-367.758,-346.886
236.5,-287.354,-370.093,-350.105
237,-289.653,-372.391,-353.345
237.5,-291.913,-374.652,-356.605
238,-294.135,-376.874,-359.884
238.5,-296.316,-379.054,-363.182
239,-298.455,-381.193,-366.499
239.5,-300.55,-383.288,-369.835
240,-302.6,-385.339,-373.189
240.5,-304.604,-387.343,-376.56
241,-306.56,-389.299,-379.949
241.5,-308.467,-391.206,-383.354
242,-310.324,-393.063,-386.777
242.5,-312.128,-394.867,-390.214
243,-313.88,-396.618,-393.668
243.5,-315.576,-398.314,-397.137
244,-317.216,-399.954,-400.62
244.5,-318.798,-401.537,-404.117
245,-320.321,-403.06,-407.628
245.5,-321.784,-404.523,-411.151
246,-323.185,-405.924,-414.688
246.5,-324.523,-407.262,-418.236
247,-325.797,-408.535,-421.795
247.5,-327.004,-409.743,-425.366
248,-328.145,-410.883,-428.946
248.5,-329.217,-411.955,-432.537
249,-330.219,-412.957,-436.136
249.5,-331.15,-413.889,-439.744
250,-332.009,-414.748,-443.359
250.5,-332.795,-415.533,-446.982
251,-333.505,-416.244,-450.612
251.5,-334.14,-416.879,-454.247
252,-334.698,-417.437,-457.887
252.5,-335.178,-417.917,-461.532
253,-335.579,-418.318,-465.181
253.5,-335.9,-418.638,-468.833
254,-336.139,-418.877,-472.487
254.5,-336.296,-419.034,-476.143
255,-336.37,-419.108,-479.8
255.5,-336.359,-419.098,-483.458
256,-336.264,-419.002,-487.114
256.5,-336.082,-418.821,-490.77
257,-335.814,-418.553,-494.424
257.5,-335.459,-418.198,-498.075
258,-335.016,-417.754,-501.722
258.5,-334.483,-417.222,-505.366
259,-333.861,-416.6,-509.004
259.5,-333.15,-415.888,-512.636
260,-332.347,-415.086,-516.262
260.5,-331.454,-414.192,-519.881
261,-330.469,-413.208,-523.491
261.5,-329.392,-412.131,-527.092
262,-328.223,-410.962,-530.683
262.5,-326.962,-409.701,-534.264
263,-325.608,-408.347,-537.834
263.5,-324.162,-406.9,-541.391
264,-322.622,-405.361,-544.935
264.5,-320.99,-403.728,-548.465
265,-319.264,-402.003,-551.981
265.5,-317.446,-400.185,-555.481
266,-315.535,-398.274,-558.965
266.5,-313.532,-396.271,-562.432
267,-311.437,-394.175,-565.881
267.5,-309.25,-391.988,-569.311
268,-306.971,-389.71,-572.722
268.5,-304.602,-387.34,-576.113
269,-302.142,-384.881,-579.482
269.5,-299.593,-382.331,-582.83
270,-296.954,-379.693,-586.155
270.5,-294.227,-376.966,-589.456
271,-291.413,-374.152,-592.733
271.5,-288.512,-371.251,-595.986
272,-285.526,-368.264,-599.213
272.5,-282.455,-365.194,-602.413
273,-279.301,-362.039,-605.586
273.5,-276.064,-358.803,-608.731
274,-272.747,-355.486,-611.848
274.5,-269.35,-352.089,-614.935
275,-265.875,-348.613,-617.993
275.5,-262.323,-345.062,-621.02
276,-258.696,-341.435,-624.015
276.5,-254.996,-337.734,-626.978
277,-251.223,-333.962,-629.909
277.5,-247.381,-330.12,-632.807
278,-243.471,-326.21,-635.671
278.5,-239.495,-322.233,-638.5
279,-235.454,-318.193,-641.294
279.5,-231.352,-314.09,-644.053
280,-227.189,-309.928,-646.776
280.5,-222.969,-305.707,-649.462
281,-218.693,-301.432,-652.111
281.5,-214.365,-297.103,-654.723
282,-209.986,-292.724,-657.297
282.5,-205.558,-288.297,-659.832
283,-201.086,-283.824,-662.328
283.5,-196.57,-279.309,-664.785
284,-192.015,-274.754,-667.203
284.5,-187.422,-270.161,-669.58
285,-182.795,-265.534,-671.918
285.5,-178.136,-260.875,-674.215
286,-173.449,-256.187,-676.471
286.5,-168.736,-251.475,-678.686
287,-164.001,-246.739,-680.86
287.5,-159.246,-241.985,-682.992
288,-154.476,-237.214,-685.083
288.5,-149.693,-232.431,-687.132
289,-144.9,-227.638,-689.14
289.5,-140.101,-222.84,-691.105
290,-135.3,-218.038,-693.029
290.5,-130.499,-213.238,-694.911
291,-125.703,-208.441,-696.751
291.5,-120.914,-203.653,-698.549
292,-116.138,-198.876,-700.305
292.5,-111.376,-194.115,-702.02
293,-106.633,-189.372,-703.693
293.5,-101.913,-184.652,-705.325
294,-97.2193,-179.958,-706.916
294.5,-92.5556,-175.294,-708.466
295,-87.9258,-170.664,-709.976
295.5,-83.3338,-166.072,-711.445
296,-78.7834,-161.522,-712.874
296.5,-74.2785,-157.017,-714.264
297,-69.8231,-152.562,-715.615
297.5,-65.421,-148.16,-716.927
298,-61.0762,-143.815,-718.201
298.5,-56.7926,-139.531,-719.438
299,-52.5741,-135.313,-720.637
299.5,-48.4246,-131.163,-721.8
300,-44.3482,-127.087,-722.926
300.5,-40.3488,-123.087,-724.018
301,-36.4302,-119.169,-725.075
301.5,-32.5965,-115.335,-726.098
302,-28.8514,-111.59,-727.088
302.5,-25.1989,-107.937,-728.046
303,-21.6428,-104.381,-728.973
303.5,-18.1871,-100.926,-729.868
304,-14.8354,-97.574,-730.735
304.5,-11.5915,-94.3301,-731.572
305,-8.45928,-91.1979,-732.381
305.5,-5.44227,-88.1809,-733.164
306,-2.54416,-85.2827,-733.921
306.5,0.231461,-82.5071,-734.653
307,2.88107,-79.8575,-735.362
307.5,5.4012,-77.3374,-736.047
308,7.78845,-74.9501,-736.712
308.5,10.0395,-72.6991,-737.356
309,12.1511,-70.5875,-737.981
309.5,14.12,-68.6185,-738.589
310,15.9433,-66.7953,-739.18
310.5,17.6178,-65.1207,-739.755
311,19.1408,-63.5978,-740.317
311.5,20.5094,-62.2292,-740.866
312,21.721,-61.0176,-741.404
312.5,22.773,-59.9656,-741.932
313,23.663,-59.0756,-742.451
313.5,24.3887,-58.3499,-742.963
314,24.948,-57.7906,-743.47
314.5,25.3388,-57.3998,-743.973
315,25.5593,-57.1793,-744.473
315.5,25.6078,-57.1308,-744.971
316,25.4828,-57.2557,-745.471
316.5,25.183,-57.5556,-745.972
317,24.7072,-58.0314,-746.476
317.5,24.0545,-58.6841,-746.985
318,23.2241,-59.5145,-747.501
318.5,22.2155,-60.5231,-748.025
319,21.0283,-61.7102,-748.558
319.5,19.6627,-63.0759,-749.102
320,18.1187,-64.6199,-749.66
320.5,16.3968,-66.3418,-750.231
321,14.4976,-68.2409,-750.818
321.5,12.4224,-70.3162,-751.423
322,10.1722,-72.5664,-752.046
322.5,7.74884,-74.9897,-752.69
323,5.15414,-77.5844,-753.356
323.5,2.39042,-80.3482,-754.045
324,-0.539707,-83.2783,-754.759
324.5,-3.63323,-86.3718,-755.499
325,-6.88678,-89.6254,-756.267
325.5,-10.2966,-93.0352,-757.064
326,-13.8585,-96.597,-757.892
326.5,-17.5678,-100.306,-758.751
327,-21.4195,-104.158,-759.643
327.5,-25.4082,-108.147,-760.569
